,VendorID,CandidateAddress,RC,AC,CCS,reviews
104,e5faf69ccb1356b767cc8622398556e5,3CeayjKTzs48hZHkHdedJVWnAnUi9n6WaH,0.15384615384615385,0.3333333333333333,0.21052631578947367,13
105,f959ded121eb2c3a2289176f2840312e,16kDtEuYStbK18JDUexvX1t2rY9chd7Mj6,0.25,0.17647058823529413,0.20689655172413793,12
0,8fa68da5be518435847cb59e53b09f83,3BHxA9CUscBWCvgbUTVd4eBqqfpWFXmazd,0.21052631578947367,0.6666666666666666,0.32,19
1,7cfdafca2f807054ebe02cde00e7013f,166sj9dMesjmQvU8vq3SRh3SuuUi3NPe8b,0.2777777777777778,0.3125,0.29411764705882354,18
2,f098a932b34eb84fca372e7ba690c851,3J7yVJoSAJSUtPGqcZFDELgjyqVvRS3rca,0.16666666666666666,0.75,0.27272727272727276,18
3,17ab77b2f58f5110152f5ea89cb04166,1D3c5Kr2YVpiPBgqoDg1PtD2sMXvqCksp4,0.125,0.6666666666666666,0.21052631578947367,16
4,44aa49f62a762cc95072955be3974939,3BMEXe9sq1idzNiLksC13Y8RDD8dTzAs9m,0.15,0.3333333333333333,0.20689655172413793,20
0,f4f40ab623e3b612b6b2a25b163edcea,157aMyXrfUkX7nq7UdHoMKyjKHoEsYq3SQ,0.19230769230769232,0.5,0.2777777777777778,26
1,ef243b9fed6d6c622c3a95475276a303,129SWv4e5rF2nNzr6GAnYaQ1N6S4hAgV2V,0.19047619047619047,0.4444444444444444,0.26666666666666666,21
0,ccd37b866b1e3ef007001e0c1a44c00e,195QZkhhKcodKbZvmTfWL1nsEx3Hajk2NK,0.2554347826086957,0.20085470085470086,0.22488038277511965,184
